period,State,price,avg
2018,WV,72.51,72.51
2016,WV,56.2,56.2
2017,WV,67.75,67.75
2020,WV,60.8,60.8
2021,WV,77.12,77.12
2019,WV,72.7,72.7
2015,WV,60.31,60.31
2013,WV,75.56,75.56
2012,WV,76.1,76.1
2014,WV,65.67,65.67
2020,KY,49.04,49.04
2018,KY,55.95,55.95
2016,KY,50.79,50.79
2017,KY,51.77,51.77
2021,KY,55.28,55.28
2019,KY,51.89,51.89
2015,KY,55.01,55.01
2013,KY,59.58,59.58
2012,KY,62.78,62.78
2011,KY,63.1,63.1
2014,KY,57.62,57.62
2018,UT,36.31,36.31
2017,UT,35.28,35.28
2016,UT,36.4,36.4
2020,UT,37.22,37.22
2021,UT,38.41,38.41
2019,UT,37.95,37.95
2013,UT,35.52,35.52
2015,UT,34.53,34.53
2012,UT,34.69,34.69
2014,UT,35.59,35.59
2020,AL,98.01,98.01
2018,AL,154.35,154.35
2016,AL,91.86,91.86
2017,AL,146.2,146.2
2021,AL,150.54,150.54
2019,AL,137.26,137.26
2015,AL,84.05,84.05
2013,AL,88.2,88.2
2012,AL,85.06,85.06
2011,AL,77.51,77.51
2014,AL,87.17,87.17
2018,TX,19.03,19.03
2016,TX,19.17,19.17
2017,TX,18.2,18.2
2020,TX,17.98,17.98
2021,TX,20.4,20.4
2019,TX,16.9,16.9
2013,TX,19.31,19.31
2015,TX,22.69,22.69
2012,TX,19.09,19.09
2011,TX,19.32,19.32
2014,TX,18.2,18.2
2018,MD,68.17,68.17
2016,MD,57.8,57.8
2017,MD,72.68,72.68
2020,MD,62.4,62.4
2021,MD,59.12,59.12
2019,MD,77.28,77.28
2015,MD,53.01,53.01
2013,MD,51.75,51.75
2012,MD,47.83,47.83
2011,MD,43,43
2014,MD,50.62,50.62
2016,AR,36.39,36.39
2013,AR,109.72,109.72
2015,AR,36.39,36.39
2012,AR,53.11,53.11
2014,AR,42.27,42.27
2018,OK,49.88,49.88
2016,OK,53.18,53.18
2017,OK,52.78,52.78
2019,OK,67.2,67.2
2013,OK,58.74,58.74
2015,OK,43.46,43.46
2012,OK,59.63,59.63
2011,OK,70.39,70.39
2014,OK,44.98,44.98
2018,CO,43.3,43.3
2016,CO,42.54,42.54
2017,CO,42.52,42.52
2020,CO,41.45,41.45
2021,CO,46.02,46.02
2019,CO,44.21,44.21
2013,CO,37.58,37.58
2015,CO,36.12,36.12
2012,CO,39.35,39.35
2011,CO,40.03,40.03
2014,CO,38.64,38.64
2018,VA,103.77,103.77
2016,VA,60.96,60.96
2017,VA,92.84,92.84
2020,VA,72.76,72.76
2021,VA,120.5,120.5
2019,VA,98.06,98.06
2015,VA,63.04,63.04
2013,VA,93.4,93.4
2012,VA,107.17,107.17
2014,VA,78.44,78.44
2018,NM,39.78,39.78
2016,NM,33.24,33.24
2017,NM,34.72,34.72
2020,NM,40.62,40.62
2021,NM,41.98,41.98
2019,NM,39.71,39.71
2013,NM,37.32,37.32
2015,NM,37.43,37.43
2012,NM,36.74,36.74
2011,NM,34.22,34.22
2014,NM,40.28,40.28
2018,IL,39.29,39.29
2017,IL,37.93,37.93
2020,IL,23.86,23.86
2021,IL,31.15,31.15
2015,IL,40.77,40.77
2019,IL,36.84,36.84
2012,IL,49.88,49.88
2016,IL,39.2,39.2
2013,IL,47.82,47.82
2014,IL,47.11,47.11
2015,KS,52,52
2016,KS,52,52
2014,KS,52,52
2018,TN,90.97,90.97
2016,TN,60.37,60.37
2017,TN,65.96,65.96
2020,TN,61.43,61.43
2019,TN,66.42,66.42
2013,TN,73.29,73.29
2015,TN,66.18,66.18
2012,TN,73.51,73.51
2014,TN,67.96,67.96
2018,MT,20.15,20.15
2016,MT,18.84,18.84
2017,MT,19.31,19.31
2020,MT,20.27,20.27
2021,MT,22.66,22.66
2019,MT,21.66,21.66
2013,MT,17.26,17.26
2015,MT,17.44,17.44
2012,MT,18.11,18.11
2014,MT,17.22,17.22
2018,OH,42.21,42.21
2017,OH,42.28,42.28
2020,OH,38.49,38.49
2021,OH,38.08,38.08
2015,OH,47.84,47.84
2019,OH,39.88,39.88
2012,OH,47.8,47.8
2016,OH,44.68,44.68
2013,OH,48.64,48.64
2014,OH,49.54,49.54
2018,WY,12.68,12.68
2017,WY,13.3,13.3
2016,WY,13.74,13.74
2020,WY,13.04,13.04
2021,WY,12.76,12.76
2019,WY,12.63,12.63
2013,WY,14.02,14.02
2015,WY,13.92,13.92
2012,WY,14.24,14.24
2011,WY,13.56,13.56
2014,WY,14.05,14.05
2018,IN,40.85,40.85
2017,IN,42.23,42.23
2020,IN,40.49,40.49
2021,IN,43.52,43.52
2015,IN,46.12,46.12
2019,IN,40.8,40.8
2012,IN,51.93,51.93
2016,IN,44.55,44.55
2013,IN,50.44,50.44
2011,IN,47.92,47.92
2014,IN,48.41,48.41
2018,MO,53,53
2017,MO,53,53
2020,MO,53,53
2021,MO,53,53
2019,MO,53,53
2015,MO,52,52
2016,MO,53,53
2013,MO,52,52
2012,MO,51.5,51.5
2014,MO,52,52
2018,MS,27,27
2016,MS,22.87,22.87
2017,MS,21.9,21.9
2020,MS,27.61,27.61
2021,MS,27.32,27.32
2013,MS,24.79,24.79
2019,MS,24.5,24.5
2015,MS,26.43,26.43
2012,MS,23.49,23.49
2014,MS,25.91,25.91
2018,LA,93.15,93.15
2016,LA,47.13,47.13
2017,LA,62.86,62.86
2020,LA,254.45,254.45
2021,LA,26.26,26.26
2019,LA,84.59,84.59
2013,LA,43.79,43.79
2015,LA,52.39,52.39
2012,LA,36.1,36.1
2014,LA,49.61,49.61
2020,AK,58.32,58.32
2018,AK,58.56,58.56
2017,AK,58.84,58.84
2016,AK,55.13,55.13
2021,AK,60.32,60.32
2019,AK,58.57,58.57
2013,AK,45.75,45.75
2015,AK,53.21,53.21
2012,AK,48.57,48.57
2014,AK,46.37,46.37
2018,PA,57.91,57.91
2017,PA,54.08,54.08
2020,PA,52.11,52.11
2021,PA,57.63,57.63
2015,PA,57.73,57.73
2019,PA,57.11,57.11
2016,PA,47.98,47.98
2013,PA,68.13,68.13
2012,PA,68.26,68.26
2014,PA,61.82,61.82
2018,ND,17.47,17.47
2017,ND,17.82,17.82
2020,ND,19.48,19.48
2021,ND,19,19
2019,ND,18.93,18.93
2015,ND,17.71,17.71
2016,ND,17.95,17.95
2013,ND,17.93,17.93
2012,ND,17.4,17.4
2014,ND,17.99,17.99
2018,AZ,45.37,45.37
2016,AZ,43.13,43.13
2017,AZ,43.39,43.39
2019,AZ,96.38,96.38
2013,AZ,44.03,44.03
2015,AZ,43.06,43.06
2012,AZ,43.19,43.19
2014,AZ,42.9,42.9
